pair_str,config,gpusim_version,jobId,1_grid_x,1_grid_y,1_grid_z,1_block_x,1_block_y,1_block_z,1_ctas/SM,1_runtime,1_instructions,1_avg_mem_lat,1_avg_core_to_l2,1_avg_l2_to_core,1_avg_mrq_latency,2_grid_x,2_grid_y,2_grid_z,2_block_x,2_block_y,2_block_z,2_ctas/SM,2_runtime,2_instructions,2_avg_mem_lat,2_avg_core_to_l2,2_avg_l2_to_core,2_avg_mrq_latency,stall_icnt_to_l2,stall_l2_to_icnt,stall_core_ldst,l1D_miss_rate,l2_miss_rate,runtime,l2_rshr_entry_fail,l2_rshr_merge_fail,dram_bw
nvd_fdtd3d-0-parb_lbm-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_12657762_CYCLE-INTER_0:44:36_SM,commit_5c787_modified_0,572947,12,24,1,32,16,1,0,0,3036639484,1403,248,230,284,120,150,1,120,1,1,0,974580,427778603,4899,3450,595,238,333489948,0,118263078,0.9802,0.9966,12657762,2567260,0,[0.687496 0.687471 0.687473 0.687532 0.687460 0.687466 0.687490 0.687498 0.692608 0.692636 0.692666 0.692719 0.692675 0.692612 0.692603 0.692554 0.696934 0.696983 0.696946 0.696965 0.696954 0.696968 0.696997 0.696975]
nvd_fdtd3d-0-parb_lbm-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_10126210_CYCLE-INTER_0:48:32_SM,commit_5c787_modified_0,639813,12,24,1,32,16,1,0,0,2563105532,1479,245,310,298,120,150,1,120,1,1,0,1011689,427778603,4962,3332,869,230,255904999,0,93778838,0.9787,0.9957,10126210,1986335,0,[0.680058 0.680224 0.680206 0.680162 0.680309 0.680336 0.680201 0.680280 0.685112 0.685269 0.685258 0.685113 0.685292 0.685210 0.685310 0.685202 0.690246 0.690083 0.690289 0.690170 0.690217 0.690196 0.690283 0.690130]
nvd_fdtd3d-0-parb_lbm-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_12657762_CYCLE-INTER_0:40:40_SM,commit_7b896_modified_0,146,12,24,1,32,16,1,0,0,2792697420,1414,266,211,286,120,150,1,120,1,1,0,969156,427778603,4743,3539,396,235,358044964,0,120451356,0.9820,0.9963,12657762,2334644,0,[0.700322 0.700458 0.700335 0.700346 0.700380 0.700387 0.700229 0.700447 0.704881 0.704799 0.704819 0.704822 0.704842 0.704858 0.704772 0.704721 0.708835 0.708909 0.708796 0.708909 0.708808 0.708851 0.708692 0.708678]
nvd_blackscholes-0-nvd_interval-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_454792_CYCLE-INTER_0:40:40_SM,commit_5c787_modified_0,181,15625,1,1,128,1,1,0,204835,292000000,1410,639,73,187,1024,1,1,64,1,1,0,79923,97138283,644,281,69,252,3963429,0,3594650,0.7524,0.9865,218937,1645,0,[0.728714 0.728379 0.728611 0.728276 0.728759 0.728360 0.728411 0.727973 0.729565 0.729282 0.729888 0.729488 0.729501 0.729572 0.729933 0.728979 0.730217 0.729765 0.729262 0.729591 0.729133 0.728843 0.729520 0.729482]
nvd_blackscholes-0-nvd_interval-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_363834_CYCLE-INTER_0:36:44_SM,commit_5c787_modified_0,639809,15625,1,1,128,1,1,0,206637,292000000,1299,647,145,173,1024,1,1,64,1,1,0,81831,97138283,567,240,70,238,1508639,0,3593498,0.7548,0.9854,218516,0,0,[0.734898 0.734478 0.735589 0.734724 0.734627 0.734950 0.734808 0.734989 0.735447 0.735518 0.736016 0.735706 0.734821 0.734355 0.735202 0.734943 0.734330 0.734045 0.734620 0.734426 0.735092 0.734872 0.735202 0.735085]
nvd_blackscholes-0-nvd_interval-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_454792_CYCLE-INTER_0:44:36_SM,commit_5c787_modified_0,572943,15625,1,1,128,1,1,0,204311,292000000,1515,755,52,188,1024,1,1,64,1,1,0,81993,97138283,626,274,39,259,4015159,0,3595686,0.7495,0.9874,225604,330,0,[0.701964 0.700913 0.701057 0.700932 0.702021 0.701176 0.700525 0.699849 0.701119 0.700757 0.700769 0.700994 0.700569 0.701032 0.699705 0.700844 0.701595 0.701508 0.700256 0.701182 0.701532 0.701245 0.700907 0.700656]
cut_wmma-0-parb_stencil-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_989327_CYCLE-INTER_0:52:28_SM,commit_5c787_modified_0,659390,16,8,1,64,1,1,0,67032,36372480,557,277,132,38,8,128,1,32,4,1,0,808930,644994210,1716,1361,130,67,1835074,0,16879814,0.9962,0.3883,813155,0,2699890,[0.442718 0.442666 0.442350 0.442565 0.442105 0.442720 0.442635 0.442472 0.441183 0.440925 0.441930 0.442213 0.442018 0.442376 0.441390 0.441867 0.441961 0.442310 0.442131 0.442685 0.442525 0.442527 0.442058 0.442168]
cut_wmma-0-parb_stencil-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_872104_CYCLE-INTER_0:48:32_SM,commit_5c787_modified_0,639725,16,8,1,64,1,1,0,65874,36372480,485,189,111,60,8,128,1,32,4,1,0,557529,644994210,1414,1015,103,108,4868508,0,12563910,0.9223,0.5282,591670,0,5804716,[0.542602 0.542375 0.541054 0.541726 0.541726 0.541404 0.542142 0.542082 0.547804 0.547799 0.547181 0.546658 0.547422 0.547527 0.547038 0.547105 0.542440 0.542034 0.541287 0.541166 0.541266 0.540863 0.541798 0.541779]
cut_wmma-0-parb_stencil-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_1090130_CYCLE-INTER_0:40:40_SM,commit_7b896_modified_0,131,16,8,1,64,1,1,0,73299,36372480,627,302,142,96,8,128,1,32,4,1,0,553176,644994210,1244,796,103,150,4983956,0,11121796,0.9647,0.5341,561032,0,4943129,[0.577616 0.578107 0.578646 0.578301 0.576640 0.577045 0.577163 0.576995 0.583648 0.583510 0.584733 0.583814 0.583477 0.583527 0.583510 0.583427 0.577131 0.576985 0.577043 0.577730 0.576955 0.574987 0.576439 0.577317]
cut_wmma-0-parb_stencil-0,TITANV-PAE-CONCURRENT-SEP_RW-LSRR-CAP_1090130_CYCLE-INTER_0:44:36_SM,commit_5c787_modified_0,572859,16,8,1,64,1,1,0,71410,36372480,768,491,120,67,8,128,1,32,4,1,0,565437,644994210,1420,996,123,128,3214120,0,11123830,0.9986,0.4857,567132,0,3050456,[0.565247 0.565369 0.565870 0.565417 0.567410 0.567632 0.566430 0.566840 0.571247 0.571466 0.571881 0.571759 0.573181 0.573385 0.572337 0.572738 0.565469 0.565302 0.564854 0.565357 0.566363 0.566487 0.565541 0.565904]
