Benchmark_Set,Kernel,DRAM_BANDWIDTH_UTIL,REGISTER_USAGE,SHARED_USAGE,OCCUPANCY,FP16,FMA,FP64,ALU,SPU,Tensor,Ld/St
Resnet50 Training & GNMT Training,_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE_EEviT1_ & kernelReduceAllPass1,54.404920521446606,46.86553374684608,11.788231707317074,152.0974398654331,0.0,9.50726030277544,0.0,16.36340748528175,7.5060975609756095,0.0,13.31674936921784
Resnet50 Training & GNMT Training,_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE_EEviT1_ & LSTM_elementWise_fp,74.28083698121006,63.16028427627502,0.0,139.8335023745612,2.8847305389221547,18.308215465620474,0.0,17.262789696469117,13.259940119760476,0.0,21.894549865785685
Resnet50 Training & GNMT Training,_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE_EEviT1_ & cunn_SoftMaxBackward,69.64260344827589,38.73625592672413,8.448125000000001,125.37658620689653,0.19,10.040431034482761,0.0,12.424017241379312,7.25,0.0,15.569310344827597
Resnet50 Training & GNMT Training,_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE_EEviT1_ & _ZN2at6native18elementwise_kernelILi128ELi4EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIN3c104HalfEEEvRNS_14TensorIteratorENS4_6ScalarEEUlS5_S5_E_EEvS7_RKT_EUliE0_EEviT1_,79.24093678160921,37.01539655172413,0.0,148.06158620689652,4.760000000000002,19.145986590038316,0.0,31.291239463601546,9.521111111111109,0.0,21.072088122605372
Resnet50 Training & Arioc,_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE_EEviT1_ & baseCountJs_Kernel,25.624270114942558,48.39060488505747,0.0,109.51380842911874,0.0,2.2048754789272063,0.0,2.4995727969348676,0.0,0.0,5.86653256704982
Resnet50 Training & Arioc,_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE_EEviT1_ & baseLoadJs_KernelD,26.32038122605367,34.81664655172413,0.0,122.97158620689652,0.0,2.2598754789272064,0.0,2.579017241379312,0.0,0.0,5.763199233716486
Resnet50 Training & Arioc,_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE_EEviT1_ & DeviceRadixSortDownsweepKernel,63.26348580121706,76.44598803096288,57.00142663043477,112.63217444219063,0.0,4.274548681541585,0.0,10.397252535496955,1.1588235294117646,0.0,19.806075050709953
Resnet50 Training & Rodinia,_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE_EEviT1_ & bfs,47.23626630705036,38.10065345754029,0.0,132.21433258016117,0.0,6.656721950728329,0.0,11.91979292845551,0.0,0.0,26.144541625690238
Resnet50 Training & Rodinia,_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE_EEviT1_ & nn,48.717603448275895,36.20039655172413,0.0,144.80158620689653,0.0,10.230431034482761,0.0,6.149017241379312,2.49,0.0,15.574310344827598
Resnet50 Training & Rodinia,_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE_EEviT1_ & huffman,33.2072808479842,41.07252402037063,13.859630700425301,137.7973281623406,0.0,13.337861766651574,0.0,22.84426355548262,0.0,0.0,35.40677666577029
Resnet50 Training & Rodinia,_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE_EEviT1_ & backprop,50.324531888803335,53.80206631167532,1.3719598355018623,153.64686024457444,0.0,7.746584330209705,67.68417331536496,8.426863381159,6.431598907586077,0.0,24.81756365526317
Resnet50 Training & Rodinia,_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE_EEviT1_ & hotspot,30.59760344827589,79.62649030172413,18.189375,154.80158620689653,0.0,8.480431034482761,86.7,12.269017241379311,2.12,0.0,14.764310344827598
Resnet50 Training & Rodinia,_ZN2at6native18elementwise_kernelILi512ELi1EZNS0_17gpu_binary_kernelIZNS0_15add_kernel_implIfEEvRNS_14TensorIteratorEN3c106ScalarEEUlffE_EEvS5_RKT_EUliE_EEviT1_ & pathfinder,64.41160344827591,36.97689655172414,11.264500000000002,147.90758620689653,0.0,11.054431034482764,0.0,27.51101724137931,0.0,0.0,50.7343103448276
